,line_length,word_count,verb_%,adj_%,stopword_%,punctuation_%,number_%,proper_noun_%,symbol_count,list_markers_count,determiners_count,name_count,line_length_trans,word_count_trans,verb_%_trans,adj_%_trans,stopword_%_trans,punctuation_%_trans,number_%_trans,proper_noun_%_trans,company_count
0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.148698354997035,1.2599210498948732,0.0,0.0,0.0,0.0,0.0,0.0,0
1,62,11,0.0,0.0,0.0,4.8,0.0,58.3,0.0,0.0,0.0,0,2.282855055701629,2.2239800905693152,0.0,0.0,0.0,2.1908902300206643,0.0,58.3,1
2,65,10,9.1,9.1,1.5,4.6,0.0,0.0,0.0,0.0,0.0,0,2.3045316198021406,2.154434690031884,3.0166206257996713,3.0166206257996713,1.224744871391589,2.1447610589527217,0.0,0.0,1
3,50,8,0.0,12.5,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0,2.1867241478865562,2.0,0.0,3.5355339059327378,1.4142135623730951,2.0,0.0,0.0,0
4,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5848931924611136,1.4422495703074083,0.0,0.0,0.0,0.0,0.0,0.0,0
5,32,8,0.0,0.0,0.0,9.4,0.0,77.8,0.0,0.0,0.0,1,2.0,2.0,0.0,0.0,0.0,3.0659419433511785,0.0,77.8,2
6,39,7,0.0,0.0,0.0,5.1,0.0,71.39999999999999,0.0,0.0,0.0,0,2.080716549261844,1.912931182772389,0.0,0.0,0.0,2.258317958127243,0.0,71.39999999999999,0
7,19,6,0.0,0.0,0.0,5.3,40.0,0.0,0.0,0.0,0.0,2,1.8019831273171423,1.8171205928321397,0.0,0.0,0.0,2.3021728866442674,40.0,0.0,0
8,53,12,8.3,0.0,5.7,3.8,0.0,0.0,0.0,0.0,8.3,0,2.2123568222761167,2.2894284851066637,2.8809720581775866,0.0,2.3874672772626644,1.9493588689617927,0.0,0.0,1
9,58,11,20.0,0.0,5.2,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0,2.2526078784323254,2.2239800905693152,4.47213595499958,0.0,2.280350850198276,1.3038404810405297,0.0,0.0,0
10,62,10,0.0,18.2,1.6,4.8,0.0,0.0,0.0,0.0,0.0,0,2.282855055701629,2.154434690031884,0.0,4.266145801540309,1.2649110640673518,2.1908902300206643,0.0,0.0,0
11,7,3,0.0,0.0,0.0,14.299999999999999,0.0,0.0,0.0,0.0,0.0,0,1.4757731615945522,1.4422495703074083,0.0,0.0,0.0,3.7815340802378072,0.0,0.0,0
12,66,11,18.2,18.2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,2.311579248730029,2.2239800905693152,4.266145801540309,4.266145801540309,1.7320508075688772,1.7320508075688772,0.0,0.0,0
13,23,4,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0,1.8721712305548575,1.5874010519681994,0.0,0.0,0.0,2.073644135332772,0.0,0.0,0
14,11,5,0.0,0.0,0.0,9.1,0.0,75.0,0.0,0.0,0.0,1,1.615394266202178,1.7099759466766968,0.0,0.0,0.0,3.0166206257996713,0.0,75.0,1
15,13,4,0.0,0.0,0.0,23.1,50.0,0.0,0.0,0.0,0.0,0,1.6702776523348104,1.5874010519681994,0.0,0.0,0.0,4.806245936279167,50.0,0.0,0
16,21,3,0.0,0.0,0.0,9.5,33.300000000000004,0.0,0.0,0.0,0.0,0,1.838416287252544,1.4422495703074083,0.0,0.0,0.0,3.082207001484488,33.300000000000004,0.0,0
17,22,3,0.0,0.0,0.0,13.600000000000001,0.0,0.0,0.0,0.0,0.0,0,1.8556007362580844,1.4422495703074083,0.0,0.0,0.0,3.687817782917155,0.0,0.0,0
18,19,3,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0,1.8019831273171423,1.4422495703074083,0.0,0.0,0.0,3.24037034920393,0.0,0.0,0
19,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5518455739153598,1.4422495703074083,0.0,0.0,0.0,0.0,0.0,0.0,0
20,23,5,0.0,0.0,4.3,4.3,0.0,50.0,0.0,0.0,0.0,0,1.8721712305548575,1.7099759466766968,0.0,0.0,2.073644135332772,2.073644135332772,0.0,50.0,0
21,8,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1.5157165665103982,1.4422495703074083,0.0,0.0,0.0,0.0,0.0,100.0,0
22,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.2599210498948732,0.0,0.0,0.0,0.0,0.0,0.0,0
23,14,4,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0,1.6952182030724354,1.5874010519681994,0.0,0.0,0.0,2.6645825188948455,0.0,0.0,0
24,24,5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1.888175022589804,1.7099759466766968,0.0,0.0,0.0,0.0,0.0,100.0,0
25,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.2599210498948732,0.0,0.0,0.0,0.0,0.0,0.0,0
26,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.2599210498948732,0.0,0.0,0.0,0.0,0.0,0.0,0
27,18,5,0.0,25.0,0.0,5.6000000000000005,0.0,0.0,0.0,0.0,0.0,0,1.7826024579660034,1.7099759466766968,0.0,5.0,0.0,2.3664319132398464,0.0,0.0,0
28,18,5,0.0,33.300000000000004,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0,1.7826024579660034,1.7099759466766968,0.0,5.770615218501404,0.0,0.0,0.0,66.7,0
29,18,4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.7826024579660034,1.5874010519681994,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0
